"spkid","full_name","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
20163693,"163693 Atira (2003 CP20)",163693,Atira,,Y,N,1,16.41,,,,,,,,,,3.398,,,,,,,,,"JPL 203",2460600.5,60600,2024-10-17.0,J2000,0.3221,0.741,0.502,25.62,103.87,252.94,139.17,0.98,1.545,2460510.43,2024-07-18.9,233,0.638,0.206,80.3,4.42,7.67,2.3e-09,2.5e-10,1.9e-09,3.4e-07,3.0e-07,4.7e-07,3.0e-06,3.4e-10,7.9e-10,1.9e-06,1.2e-07,IEO,"Otto Matic",7766,2003-02-12,2024-05-18,1009,2,0,0,.40815,,,,,,,,,
20164294,"164294 (2004 XZ130)",164294,,,Y,N,0,20.45,,,,,,,,,,,,,,,,,,,"JPL 20",2460600.5,60600,2024-10-17.0,J2000,0.4545,0.6175,0.337,2.95,211.15,5.42,134.44,0.90,2.031,2460534.30,2024-08-11.8,177,0.485,0.0948,36.9,4.07,9.04,4.8e-07,1.6e-08,3.0e-07,4.2e-05,3.3e-04,3.2e-04,6.0e-04,2.4e-08,8.0e-08,2.9e-04,7.0e-06,IEO,"Otto Matic",3564,2004-12-13,2014-09-16,72,,,1,.21957,,,,,,,,,
20413563,"413563 (2005 TG45)",413563,,,Y,N,0,17.64,,,,,,,,,,1.3862,,,,,,,,,"JPL 77",2460600.5,60600,2024-10-17.0,J2000,0.3722,0.6813,0.428,23.33,273.42,230.43,153.07,0.93,1.752,2460513.16,2024-07-21.6,205,0.562,0.196,76.4,4.16,8.25,1.8e-07,3.4e-09,1.2e-07,3.3e-05,9.1e-05,9.6e-05,9.9e-05,4.6e-09,1.3e-08,5.6e-05,1.5e-06,IEO,"Otto Matic",6591,2005-09-26,2023-10-13,274,,,0,.49746,,,,,,,,,
20418265,"418265 (2008 EA32)",418265,,,Y,N,0,16.48,,,,,,,,,,,,,,,,,,,"JPL 88",2460600.5,60600,2024-10-17.0,J2000,0.3050,0.6159,0.428,28.26,100.94,181.84,356.92,0.80,2.039,2460602.01,2024-10-18.5,177,0.483,0.179,69.6,4.31,9.03,2.9e-07,2.6e-09,1.8e-07,4.8e-05,5.8e-05,6.7e-05,1.1e-04,3.4e-09,1.3e-08,5.5e-05,1.1e-06,IEO,"Otto Matic",5816,2008-03-10,2024-02-11,393,,,0,.36904,,,,,,,,,
20434326,"434326 (2004 JG6)",434326,,,Y,Y,0,18.48,,,,,,,,,,,,,,,,,,,"JPL 36",2460600.5,60600,2024-10-17.0,J2000,0.5311,0.6352,0.298,18.94,37.01,353.01,336.94,0.97,1.947,2460612.34,2024-10-28.8,185,0.506,0.0374,14.6,4.47,8.75,1.9e-07,6.3e-09,1.2e-07,5.4e-05,4.0e-05,3.8e-05,2.1e-04,9.7e-09,2.9e-08,1.1e-04,2.8e-06,IEO,"Otto Matic",6227,2004-05-11,2021-05-29,142,,,1,.46713,,,,,,,,,
20481817,"481817 (2008 UL90)",481817,,,Y,Y,0,18.61,,,,,,,,,,,,,,,,,,,"JPL 72",2460600.5,60600,2024-10-17.0,J2000,0.3799,0.695,0.431,24.31,81.13,183.67,2.40,0.96,1.701,2460599.09,2024-10-15.5,212,0.579,0.026,10.1,4.1,8.1,3.7e-08,4.0e-09,2.7e-08,3.6e-06,3.4e-06,2.9e-05,6.3e-05,5.5e-09,1.5e-08,3.7e-05,1.8e-06,IEO,"Otto Matic",5537,2008-10-26,2023-12-24,343,4,3,0,.46051,,,,,,,,,
20594913,"594913 'Aylo'chaxnim (2020 AV2)",594913,'Aylo'chaxnim,,Y,N,0,16.20,,,,,,,,,,,,,,,,,0.78,,"JPL 42",2460600.5,60600,2024-10-17.0,J2000,0.1771,0.5554,0.457,15.87,6.69,187.35,72.14,0.65,2.381,2460570.21,2024-09-16.7,151,0.414,0.347,135,4.3,9.99,8.3e-07,5.2e-08,4.7e-07,5.9e-05,2.3e-04,3.0e-04,6.4e-04,6.1e-08,3.3e-07,2.7e-04,2.1e-05,IEO,"Otto Matic",1356,2020-01-04,2023-09-21,261,,,2,.34293,,,,,,,,,
20613676,"613676 (2006 WE4)",613676,,,Y,N,0,18.82,,,,,,,,,,,,,,,,,,,"JPL 22",2460600.5,60600,2024-10-17.0,J2000,0.1829,0.7848,0.641,24.77,311.00,318.60,108.87,0.93,1.418,2460523.71,2024-08-01.2,254,0.695,0.0999,38.9,4.21,7.32,4.3e-07,8.2e-09,3.4e-07,5.9e-05,7.2e-05,1.7e-04,3.0e-04,9.6e-09,2.2e-08,2.1e-04,4.0e-06,IEO,"Otto Matic",5614,2006-11-21,2022-04-05,65,1,0,1,.33643,,,,,,,,,
20678861,"678861 (2017 YH)",678861,,,Y,N,0,18.12,,,,,,,,,,3.8896,,,,,,,,,"JPL 40",2460600.5,60600,2024-10-17.0,J2000,0.4823,0.6344,0.328,19.86,134.16,147.53,11.19,0.94,1.951,2460594.76,2024-10-11.2,185,0.505,0.115,44.8,4.22,8.78,1.2e-07,8.4e-09,7.8e-08,6.9e-05,8.6e-05,9.4e-05,1.0e-04,1.2e-08,3.9e-08,5.1e-05,3.7e-06,IEO,"Otto Matic",2612,2016-12-05,2024-01-30,177,,,1,.406,,,,,,,,,
3184472,"       (1998 DK36)","1998 DK36",,,Y,N,0,25.01,,,,,,,,,,,,,,,,,,,"JPL 13",2450868.5,50868,1998-02-24.0,J2000,0.4160,0.6923,0.404,2.02,151.46,180.04,183.25,0.98,1.711,2450971.79,1998-06-07.2,210,0.576,0.00844,3.28,4.34,8.18,7.7e-02,3.7e-02,7.5e-02,3.5e-01,3.9e-01,1.2e+00,2.8e+00,5.3e-02,1.4e-01,9.8e+00,1.7e+01,IEO,"Otto Matic",1,1998-02-23,1998-02-24,4,,,9,.072251,,,,,,,,,
3553148,"       (2010 XB11)","2010 XB11",,,Y,N,0,19.73,,,,,,,,,,,,,,,,,,,"JPL 17",2460600.5,60600,2024-10-17.0,J2000,0.5338,0.6181,0.288,29.88,96.30,202.49,326.77,0.95,2.028,2460616.88,2024-11-02.3,177,0.486,0.0915,35.6,4.25,8.92,8.4e-07,2.8e-08,5.2e-07,1.5e-04,1.6e-04,9.3e-05,7.0e-04,4.3e-08,1.4e-07,3.5e-04,1.2e-05,IEO,"Otto Matic",4141,2010-12-02,2022-04-04,55,,,2,.57923,,,,,,,,,
3617387,"       (2012 VE46)","2012 VE46",,,Y,Y,0,20.20,,,,,,,,,,,,,,,,,,,"JPL 29",2460600.5,60600,2024-10-17.0,J2000,0.3613,0.7131,0.455,6.67,8.65,190.59,141.63,0.97,1.637,2460513.97,2024-07-22.4,220,0.602,0.0324,12.6,3.98,7.98,1.2e-07,1.7e-08,8.7e-08,2.2e-05,7.7e-05,5.3e-05,1.9e-04,2.3e-08,5.8e-08,1.2e-04,7.8e-06,IEO,"Otto Matic",2225,2012-11-06,2018-12-10,77,,,1,.43026,,,,,,,,,
3638505,"       (2013 JX28)","2013 JX28",,,Y,N,0,20.10,,,,,,,,,,,,,,,,,,,"JPL 16",2460600.5,60600,2024-10-17.0,J2000,0.5642,0.6008,0.262,10.76,39.93,354.90,10.30,0.94,2.116,2460595.64,2024-10-12.1,170,0.466,0.0661,25.7,4.49,9.21,1.5e-07,1.2e-08,8.9e-08,7.5e-05,6.6e-05,8.7e-05,2.2e-04,1.8e-08,6.2e-08,1.0e-04,5.0e-06,IEO,"Otto Matic",5110,2006-05-25,2020-05-21,55,0,1,1,.52453,,,,,,,,,
3648862,"       (2013 TQ5)","2013 TQ5",,,Y,N,0,19.80,,,,,,,,,,,,,,,,,,,"JPL 15",2460600.5,60600,2024-10-17.0,J2000,0.1557,0.7737,0.653,16.40,286.74,247.22,257.50,0.89,1.448,2460671.27,2024-12-26.7,249,0.68,0.192,74.8,4.11,7.46,2.4e-07,2.9e-08,1.9e-07,4.5e-05,1.2e-04,1.9e-04,2.4e-04,3.3e-08,8.0e-08,1.7e-04,1.4e-05,IEO,"Otto Matic",2269,2013-10-02,2019-12-19,47,,,1,.53382,,,,,,,,,
3666783,"       (2014 FO47)","2014 FO47",,,Y,Y,0,20.21,,,,,,,,,,,,,,,,,,,"JPL 17",2460600.5,60600,2024-10-17.0,J2000,0.2711,0.7521,0.548,19.20,358.63,347.45,265.10,0.96,1.511,2460663.31,2024-12-18.8,238,0.652,0.0446,17.4,4.39,7.61,1.7e-07,1.8e-08,1.2e-07,4.1e-05,4.3e-05,6.2e-05,2.0e-04,2.3e-08,5.5e-08,1.3e-04,8.7e-06,IEO,"Otto Matic",3259,2014-03-30,2023-03-02,50,,,1,.52246,,,,,,,,,
3712675,"       (2015 DR215)","2015 DR215",,,Y,Y,0,20.51,,,,,,,,,,,,,,,,,,,"JPL 26",2460600.5,60600,2024-10-17.0,J2000,0.4715,0.6666,0.352,4.06,314.57,42.70,85.35,0.98,1.811,2460553.36,2024-08-30.8,199,0.544,0.0437,17,4.45,8.44,6.3e-08,4.0e-09,4.1e-08,1.6e-05,2.4e-04,2.5e-04,3.7e-05,5.9e-09,1.6e-08,2.0e-05,1.8e-06,IEO,"Otto Matic",2602,2015-02-18,2022-04-04,82,,,0,.51095,,,,,,,,,
3791243,"       (2017 XA1)","2017 XA1",,,Y,Y,0,21.30,,,,,,,,,,,,,,,,,,,"JPL 7",2460600.5,60600,2024-10-17.0,J2000,0.2016,0.8094,0.646,17.18,239.62,327.62,12.33,0.97,1.353,2460591.39,2024-10-07.8,266,0.728,0.0484,18.8,4.01,7.17,2.4e-07,2.4e-08,2.1e-07,3.4e-05,3.4e-05,4.8e-05,2.0e-04,2.9e-08,6.1e-08,1.5e-04,1.2e-05,IEO,"Otto Matic",1084,2017-12-05,2020-11-23,30,,,1,.67262,,,,,,,,,
3824107,"       (2018 JB3)","2018 JB3",,,Y,N,0,17.66,,,,,,,,,,,,,,,,,,,"JPL 28",2460600.5,60600,2024-10-17.0,J2000,0.2904,0.6832,0.485,40.39,106.41,355.25,263.28,0.88,1.745,2460655.91,2024-12-11.4,206,0.565,0.135,52.6,4.26,8.14,3.9e-07,1.1e-08,2.7e-07,5.5e-05,6.2e-05,8.4e-05,1.3e-04,1.4e-08,4.1e-08,7.7e-05,4.9e-06,IEO,"Otto Matic",3321,2015-07-12,2024-08-14,129,,,1,.33488,,,,,,,,,
3837637,"       (2019 AQ3)","2019 AQ3",,,Y,N,0,17.48,,,,,,,,,,,,,,,,,0.51,,"JPL 28",2460600.5,60600,2024-10-17.0,J2000,0.3143,0.5886,0.404,47.22,64.48,163.17,163.05,0.77,2.182,2460525.79,2024-08-03.2,165,0.452,0.226,87.9,4.24,9.27,3.4e-07,8.6e-09,2.0e-07,1.4e-04,9.3e-05,1.2e-04,2.3e-04,1.1e-08,4.8e-08,1.1e-04,3.6e-06,IEO,"Otto Matic",2996,2015-10-13,2023-12-26,145,,,1,.35829,,,,,,,,,
3842903,"       (2019 LF6)","2019 LF6",,,Y,N,0,17.28,,,,,,,,,,,,,,,,,0.40,,"JPL 24",2460600.5,60600,2024-10-17.0,J2000,0.4293,0.5554,0.317,29.50,179.02,213.79,197.27,0.79,2.381,2460668.85,2024-12-24.3,151,0.414,0.259,101,4.62,9.88,5.7e-07,2.5e-08,3.1e-07,8.4e-05,1.4e-04,1.7e-04,3.5e-04,3.6e-08,1.6e-07,1.5e-04,1.0e-05,IEO,"Otto Matic",1108,2019-05-06,2022-05-18,114,,,2,.44145,,,,,,,,,
54016935,"       (2020 HA10)","2020 HA10",,,Y,N,0,19.02,,,,,,,,,,,,,,,,,0.80,,"JPL 5",2460600.5,60600,2024-10-17.0,J2000,0.1552,0.8197,0.692,49.65,103.41,26.71,124.31,0.95,1.328,2460506.90,2024-07-15.4,271,0.742,0.0865,33.6,4.21,6.86,1.5e-06,2.4e-08,1.2e-06,2.2e-04,1.8e-04,2.3e-04,3.5e-04,2.8e-08,5.8e-08,2.7e-04,1.2e-05,IEO,"Otto Matic",4043,2011-06-12,2022-07-07,39,,,1,.69506,,,,,,,,,
54048903,"       (2020 OV1)","2020 OV1",,,Y,N,0,18.72,,,,,,,,,,,,,,,,,0.60,,"JPL 9",2460600.5,60600,2024-10-17.0,J2000,0.2541,0.6376,0.476,32.58,296.01,189.81,328.54,0.80,1.936,2460616.75,2024-11-02.2,186,0.509,0.219,85.2,4.28,8.73,2.0e-06,1.2e-07,1.2e-06,2.2e-04,2.1e-04,3.0e-04,5.2e-04,1.5e-07,5.5e-07,2.7e-04,5.3e-05,IEO,"Otto Matic",1179,2018-07-08,2021-09-29,55,,,3,.63214,,,,,,,,,
54106533,"       (2021 BS1)","2021 BS1",,,Y,N,0,18.59,,,,,,,,,,,,,,,,,0.26,,"JPL 12",2460600.5,60600,2024-10-17.0,J2000,0.3377,0.5984,0.396,31.73,27.68,332.66,155.74,0.80,2.129,2460527.35,2024-08-04.8,169,0.463,0.231,90,4.55,9.24,1.1e-06,1.0e-07,7.1e-07,1.3e-04,2.5e-04,2.1e-04,7.2e-04,1.4e-07,5.5e-07,3.2e-04,4.4e-05,IEO,"Otto Matic",859,2021-01-16,2023-05-25,40,,,3,.50892,,,,,,,,,
54158076,"       (2021 LJ4)","2021 LJ4",,,Y,N,0,20.11,,,,,,,,,,,,,,,,,0.24,,"JPL 3",2460600.5,60600,2024-10-17.0,J2000,0.3820,0.6763,0.418,9.83,277.58,56.63,286.05,0.93,1.772,2460642.24,2024-11-27.7,203,0.556,0.127,49.4,4.39,8.35,5.2e-07,1.2e-08,3.5e-07,1.3e-05,1.0e-04,1.1e-04,1.1e-04,1.7e-08,4.9e-08,6.1e-05,5.6e-06,IEO,"Otto Matic",2860,2016-03-05,2024-01-03,26,,,1,.41816,,,,,,,,,
54178155,"       (2021 PB2)","2021 PB2",,,Y,N,0,18.78,,,,,,,,,,,,,,,,,0.35,,"JPL 7",2460600.5,60600,2024-10-17.0,J2000,0.1500,0.7174,0.610,24.83,234.97,278.32,299.07,0.83,1.622,2460638.07,2024-11-23.5,222,0.608,0.262,102,4.2,7.92,5.6e-07,2.4e-08,4.0e-07,6.2e-05,1.3e-04,2.4e-04,2.8e-04,2.7e-08,8.0e-08,1.8e-04,1.1e-05,IEO,"Otto Matic",4448,2012-06-06,2024-08-10,51,,,1,.42468,,,,,,,,,
54186922,"       (2021 PH27)","2021 PH27",,,Y,N,0,17.72,,,,,,,,,,,,,,,,,0.24,,"JPL 16",2460600.5,60600,2024-10-17.0,J2000,0.7116,0.4617,0.133,31.94,39.40,8.58,232.02,0.79,3.141,2460641.24,2024-11-26.7,115,0.314,0.224,87,4.62,11.6,6.3e-07,1.8e-08,2.9e-07,1.0e-04,3.8e-05,3.5e-05,2.2e-04,3.1e-08,1.8e-07,7.1e-05,6.7e-06,IEO,"Otto Matic",2408,2017-07-16,2024-02-18,82,,,2,.37778,,,,,,,,,
54216342,"       (2021 VR3)","2021 VR3",,,Y,N,0,18.01,,,,,,,,,,,,,,,,,0.32,,"JPL 5",2460600.5,60600,2024-10-17.0,J2000,0.4139,0.5339,0.313,18.06,129.04,134.42,19.90,0.75,2.526,2460592.62,2024-10-09.1,143,0.39,0.28,109,4.32,10.3,6.6e-07,8.6e-08,3.8e-07,2.0e-04,7.7e-04,6.9e-04,1.1e-03,1.2e-07,6.1e-07,4.2e-04,3.4e-05,IEO,"Otto Matic",1716,2019-01-31,2023-10-13,54,,,3,.27749,,,,,,,,,
54244776,"       (2022 BJ8)","2022 BJ8",,,Y,N,0,19.41,,,,,,,,,,,,,,,,,0.26,,"JPL 19",2460600.5,60600,2024-10-17.0,J2000,0.2487,0.7853,0.590,15.83,95.82,293.94,77.83,0.98,1.416,2460545.54,2024-08-23.0,254,0.696,0.151,58.9,4.37,7.35,3.4e-07,7.7e-08,2.4e-07,4.5e-05,1.7e-04,1.8e-04,1.7e-04,9.6e-08,2.1e-07,1.2e-04,3.7e-05,IEO,"Otto Matic",816,2022-01-29,2024-04-24,84,,,2,.40269,,,,,,,,,
54346214,"       (2023 EL)","2023 EL",,,Y,N,0,19.18,,,,,,,,,,,,,,,,,0.41,,"JPL 21",2460600.5,60600,2024-10-17.0,J2000,0.2462,0.7714,0.581,13.88,263.38,142.57,205.77,0.96,1.455,2460706.52,2025-01-31.0,247,0.678,0.0943,36.7,4.34,7.47,4.3e-07,3.0e-07,5.6e-07,5.5e-05,7.0e-05,6.2e-05,4.6e-04,3.8e-07,8.6e-07,3.8e-04,1.5e-04,IEO,"Otto Matic",213,2023-03-05,2023-10-04,63,,,3,.51631,,,,,,,,,
54349273,"       (2023 EY2)","2023 EY2",,,Y,N,0,19.75,,,,,,,,,,,,,,,,,0.37,,"JPL 5",2460600.5,60600,2024-10-17.0,J2000,0.3398,0.6036,0.398,35.48,95.96,205.84,336.70,0.81,2.102,2460611.59,2024-10-28.0,171,0.469,0.205,79.7,4.35,9.14,1.3e-06,1.7e-07,8.7e-07,3.3e-04,2.4e-04,2.3e-04,4.3e-04,2.3e-07,9.0e-07,2.1e-04,7.3e-05,IEO,"Otto Matic",325,2023-03-13,2024-02-01,29,,,3,.39911,,,,,,,,,
54360731,"       (2023 KQ5)","2023 KQ5",,,Y,N,0,18.76,,,,,,,,,,,,,,,,,0.40,,"JPL 10",2460600.5,60600,2024-10-17.0,J2000,0.0771,0.8721,0.805,67.43,215.67,219.17,57.17,0.94,1.21,2460553.25,2024-08-30.7,297,0.814,0.0822,32,4.15,6.28,1.8e-07,4.9e-09,1.6e-07,7.9e-05,4.9e-05,3.3e-04,3.6e-04,5.3e-09,1.0e-08,3.0e-04,2.5e-06,IEO,"Otto Matic",3318,2014-06-08,2023-07-09,55,,,0,.56379,,,,,,,,,
54408397,"       (2023 WK3)","2023 WK3",,,Y,Y,0,20.58,,,,,,,,,,,,,,,,,0.37,,"JPL 4",2460600.5,60600,2024-10-17.0,J2000,0.4999,0.6441,0.322,24.47,235.05,11.13,90.66,0.97,1.907,2460552.96,2024-08-30.4,189,0.517,0.0369,14.3,4.05,8.63,1.1e-04,5.2e-05,1.0e-04,1.3e-02,5.0e-03,1.4e-03,7.7e-02,7.8e-05,2.3e-04,3.5e-02,2.3e-02,IEO,"Otto Matic",34,2023-11-09,2023-12-13,31,,,7,.46634,,,,,,,,,
1000589,"     C/-146 P1","-146 P1",,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,1667909.5,-732091,-146-06-28.0,J2000,1.0000,,0.430,71.00,330.00,261.00,,,,1667909.50,-146-06-28.0,,,,,,,,,,,,,,,,,,PAR,Hasegawa,5,-146-08-06,-146-08-11,4,,,,,T,,,,,,,,
1000590,"     C/-43 K1","-43 K1",,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,1705496.5,-694504,-043-05-25.0,J2000,1.0000,,0.220,110.00,170.00,17.00,,,,1705496.50,-043-05-25.0,,,,,,,,,,,,,,,,,,PAR,"Ramsey and Licht",54," -43-05-30"," -43-07-23",,,,,,T,,,,,,,,
1000591,"     C/240 V1","240 V1",,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,1809031.5,-590969,0240-11-10.0,J2000,1.0000,,0.370,44.00,214.00,82.00,,,,1809031.50,0240-11-10.0,,,,,,,,,,,,,,,,,,PAR,Burckhardt,39," 240-11-10"," 240-12-19",,,,,,T,,,,,,,,
1000592,"     C/390 Q1","390 Q1",,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,1863752.5,-536248,0390-09-05.0,J2000,1.0000,,0.920,36.00,356.00,23.00,,,,1863752.50,0390-09-05.0,,,,,,,,,,,,,,,,,,PAR,Hasegawa,26," 390-08-22"," 390-09-17",3,,,,,T,,,,,,,,
1000593,"     C/400 F1","400 F1",,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,1867212.5,-532788,0400-02-25.0,J2000,1.0000,,0.210,32.00,38.00,47.00,,,,1867212.50,0400-02-25.0,,,,,,,,,,,,,,,,,,PAR,Hasegawa,22," 400-03-19"," 400-04-10",,,,,,T,,,,,,,,
1000594,"     C/418 M1","418 M1",,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,1874009.5,-525991,0418-10-05.0,J2000,1.0000,,0.350,110.00,310.00,240.00,,,,1874009.50,0418-10-05.0,,,,,,,,,,,,,,,,,,PAR,Kronk,82," 418-06-24"," 418-09-14",,,,,,T,,,,,,,,
1000595,"     C/442 V1","442 V1",,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,1882846.5,-517154,0442-12-15.0,J2000,1.0000,,1.530,106.00,271.00,178.00,,,,1882846.50,0442-12-15.0,,,,,,,,,,,,,,,,,,PAR,Hasegawa,100," 442-11-10"," 443-02-18",,,,,,T,,,,,,,,
1000596,"     C/539 W1","539 W1",,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,1918236.5,-481764,0539-11-06.0,J2000,1.0000,,0.160,19.00,33.00,246.00,,,,1918236.50,0539-11-06.0,,,,,,,,,,,,,,,,,,PAR,Hasegawa,74," 539-11-17"," 540-01-30",,,,,,T,,,,,,,,
1000597,"     C/565 O1","565 O1",,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,1927619.5,-472381,0565-07-15.0,J2000,1.0000,,0.830,121.00,180.00,79.00,,,,1927619.50,0565-07-15.0,,,,,,,,,,,,,,,,,,PAR,Burckhardt,105," 565-07-22"," 565-11-04",,,,,,T,,,,,,,,
1000598,"     C/568 O1","568 O1",,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,1928759.2,-471241,0568-08-27.7,J2000,1.0000,,0.870,4.00,301.80,34.90,,,,1928759.20,0568-08-27.7,,,,,,,,,,,,,,,,,,PAR,Hasegawa,63," 568-09-03"," 568-11-05",4,,,,,T,,,,,,,,
1000599,"     C/574 G1","574 G1",,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,1930794.5,-469206,0574-03-25.0,J2000,1.0000,,0.730,54.00,155.00,342.00,,,,1930794.50,0574-03-25.0,,,,,,,,,,,,,,,,,,PAR,Hasegawa,49," 574-04-04"," 574-05-23",3,,,,,T,,,,,,,,
1000600,"     C/770 K1","770 K1",,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,2002456.3,-397544,0770-06-05.8,J2000,1.0000,,0.580,117.00,110.70,88.00,,,,2002456.30,0770-06-05.8,,,,,,,,,,,,,,,,,,PAR,Hasegawa,44," 770-05-26"," 770-07-09",4,,,,,T,,,,,,,,
1000601,"     C/817 C1","817 C1",,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,2019528.5,-380472,0817-03-03.0,J2000,1.0000,,1.100,120.00,315.00,202.00,,,,2019528.50,0817-03-03.0,,,,,,,,,,,,,,,,,,PAR,Kronk,15," 817-02-05"," 817-02-20",,,,,,T,,,,,,,,
1000602,"     C/868 B1","868 B1",,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,2038157.5,-361843,0868-03-04.0,J2000,1.0000,,0.420,65.00,321.00,277.00,,,,2038157.50,0868-03-04.0,,,,,,,,,,,,,,,,,,PAR,Kanda,7," 868-01-21"," 868-01-28",3,,,,,T,,,,,,,,
1000603,"     C/905 K1","905 K1",,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,2051724.5,-348276,0905-04-26.0,J2000,1.0000,,0.200,140.00,70.00,50.00,,,,2051724.50,0905-04-26.0,,,,,,,,,,,,,,,,,,PAR,Hasegawa,25," 905-05-18"," 905-06-12",4,,,,,T,,,,,,,,
1000604,"     C/962 B1","962 B1",,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,2072424.5,-327576,0961-12-28.0,J2000,1.0000,,0.630,119.00,2.00,85.00,,,,2072424.50,0961-12-28.0,,,,,,,,,,,,,,,,,,PAR,Hasegawa,64," 962-01-28"," 962-04-02",3,,,,,T,,,,,,,,
1000605,"     C/1014 C1","1014 C1",,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,2091516.5,-308484,1014-04-06.0,J2000,1.0000,,0.560,117.00,174.00,84.00,,,,2091516.50,1014-04-06.0,,,,,,,,,,,,,,,,,,PAR,Hasegawa,8,1014-02-27,1014-03-07,3,,,,,T,,,,,,,,
1000606,"     C/1018 P1","1018 P1",,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,2093120.5,-306880,1018-08-27.0,J2000,1.0000,,0.620,35.00,185.00,197.00,,,,2093120.50,1018-08-27.0,,,,,,,,,,,,,,,,,,PAR,Hasegawa,38,1018-08-02,1018-09-09,4,,,,,T,,,,,,,,
1000607,"     C/1080 P1","1080 P1",,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,2115781.4,-284219,1080-09-10.9,J2000,1.0000,,0.681,6.90,322.90,73.60,,,,2115781.40,1080-09-10.9,,,,,,,,,,,,,,,,,,PAR,Landgraf,17,1080-08-10,1080-08-27,4,,,,,T,,,,,,,,
1000608,"     C/1092 A1","1092 A1",,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,2119962.5,-280038,1092-02-22.0,J2000,1.0000,,0.770,124.00,114.00,62.00,,,,2119962.50,1092-02-22.0,,,,,,,,,,,,,,,,,,PAR,Hasegawa,22,1092-01-08,1092-01-30,3,,,,,T,,,,,,,,
1000609,"     C/1097 T1","1097 T1",,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,2122001.5,-277999,1097-09-22.0,J2000,1.0000,,0.300,41.00,352.00,298.00,,,,2122001.50,1097-09-22.0,,,,,,,,,,,,,,,,,,PAR,Hasegawa,11,1097-10-06,1097-10-17,4,,,,,T,,,,,,,,
1000610,"     C/1110 K1","1110 K1",,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,2126622.5,-273378,1110-05-18.0,J2000,1.0000,,0.830,137.00,321.00,358.00,,,,2126622.50,1110-05-18.0,,,,,,,,,,,,,,,,,,PAR,Hasegawa,13,1110-05-29,1110-06-11,3,,,,,T,,,,,,,,
1000611,"     C/1132 T1","1132 T1",,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,2134763.2,-265237,1132-08-30.7,J2000,1.0000,,0.736,106.30,213.20,114.20,,,,2134763.20,1132-08-30.7,,,,,,,,,,,,,,,,,,PAR,Ogura,4,1132-10-05,1132-10-09,3,,,,,T,,,,,,,,
1000612,"     C/1147 A1","1147 A1",,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,2140026.5,-259974,1147-01-28.0,J2000,1.0000,,0.120,110.00,282.00,300.00,,,,2140026.50,1147-01-28.0,,,,,,,,,,,,,,,,,,PAR,Hasegawa,38,1147-01-06,1147-02-13,,,,,,T,,,,,,,,
1000613,"     C/1230 X1","1230 X1",,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,2170677.3,-229323,1230-12-28.8,J2000,1.0000,,0.860,16.00,303.70,181.00,,,,2170677.30,1230-12-28.8,,,,,,,,,,,,,,,,,,PAR,Hasegawa,26,1230-12-05,1230-12-31,3,,,,,T,,,,,,,,
