"spkid","full_name","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
1001249,"     C/1991 C3 (McNaught-Russell)","1991 C3",McNaught-Russell,C,,,0,,,7.1,,10.,,,,,,,,,,,,,,,"JPL 2",2448431.5,48431,1991-06-24.0,J2000,1.0025,-1914,4.778,113.44,161.71,320.93,0.00,,1.177e-05,2448183.06,1990-10-18.5,,,3.95,1.54e+03,0.0146,,2.6e-04,2.0e+02,1.2e-04,6.3e-04,3.0e-04,2.2e-03,4.6e-04,,1.8e-06,2.0e-02,,HYP,"Otto Matic",460,1991-01-26,1992-04-30,42,,,,.40723,,,,,,,,,
1001250,"     C/1991 F2 (Helin-Lawrence)","1991 F2",Helin-Lawrence,C,,,0,,,9.1,,5.5,,,,,,,,,,,,,,,"JPL 2",2448612.5,48612,1991-12-22.0,J2000,1.0004,-3604,1.518,95.46,11.84,271.16,-0.00,,4.555e-06,2448641.53,1992-01-20.0,,,1.23,479,1.57,,6.7e-06,5.8e+01,2.3e-06,2.0e-04,4.8e-05,8.0e-05,3.2e-06,,1.1e-07,3.8e-04,,HYP,"Otto Matic",585,1991-02-23,1992-09-30,108,,,,.59012,,,,,,,,,
1001251,"     C/1991 L4 (Helin-Alu)","1991 L4",Helin-Alu,C,,,0,,,10.1,,4.5,,,,,,,,,,,,,,,"JPL 2",2448783.5,48783,1992-06-10.0,J2000,1.0002,-2.713e+04,4.850,49.29,253.65,30.79,0.00,,2.206e-07,2448672.44,1992-02-19.9,,,3.91,1.52e+03,0.125,,3.8e-05,5.7e+03,2.9e-05,1.2e-04,1.3e-04,1.5e-03,7.7e-06,,7.0e-08,1.2e-02,,HYP,"Otto Matic",534,1991-06-13,1992-11-28,80,,,,.77683,,,,,,,,,
1000582,"     C/1991 X2 (Mueller)","1991 X2",Mueller,C,,,0,,,12.1,,16.75,,,,,,,,,,,,,,,"JPL 5",2448651.5,48651,1992-01-30.0,J2000,1.0002,-987.1,0.199,95.57,288.78,306.99,-0.00,,3.178e-05,2448702.70,1992-03-21.2,,,0.00671,2.61,2.44,,3.6e-05,1.7e+02,3.2e-05,9.1e-03,2.2e-03,6.2e-03,4.3e-04,,8.4e-06,2.8e-04,,HYP,"Otto Matic",81,1991-12-13,1992-03-03,149,,,,.9251,,,,,,,,,
1000558,"     C/1991 Y1 (Zanotta-Brewington)","1991 Y1",Zanotta-Brewington,C,,,0,,,10.2,17.0,14.75,5.,0.03,,,,,,,,,,,,,"JPL 5",2448631.5,48631,1992-01-10.0,J2000,1.0001,-1.136e+04,0.644,50.03,254.91,197.87,-0.00,,8.142e-07,2448653.49,1992-01-31.9,,,0.32,125,1.67,,8.5e-06,1.7e+03,9.1e-07,2.3e-04,4.7e-04,3.0e-04,4.0e-06,,1.8e-07,1.0e-04,,HYP,"Otto Matic",130,1991-12-24,1992-05-02,266,,,,.66613,,,,,,,,,
1001254,"     C/1992 A1 (Helin-Alu)","1992 A1",Helin-Alu,C,,,0,,,12.2,13.6,4.5,5.,0.03,,,,,,,,,,,,,"JPL 2",2448678.5,48678,1992-02-26.0,J2000,1.0043,-709.5,3.017,39.27,288.91,239.84,-0.01,,5.215e-05,2448812.22,1992-07-08.7,,,2.23,866,0.855,,9.5e-05,1.6e+01,3.2e-05,3.6e-04,2.4e-04,1.7e-03,2.3e-04,,1.7e-06,8.3e-03,,HYP,"Otto Matic",439,1992-01-09,1993-03-23,53,,,,.75059,,,,,,,,,
1001258,"     C/1992 J2 (Bradfield)","1992 J2",Bradfield,C,,,0,,,,,,,,,,,,,,,,,,,,"JPL 2",2448761.5,48761,1992-05-19.0,J2000,1.0000,,0.592,158.56,160.01,299.72,,,,2448768.29,1992-05-25.7,,,0.101,39.1,0.715,,3.1e-03,,1.6e-04,2.1e-02,2.9e-02,6.2e-02,,,,2.0e-02,,PAR,"Otto Matic",31,1992-05-04,1992-06-04,13,,,,1.1973,T,,,,,,,,
1001259,"     C/1992 N1 (Machholz)","1992 N1",Machholz,C,,,0,,,9.7,,10.,,,,,,,,,,,,,,,"JPL 2",2448812.5,48812,1992-07-09.0,J2000,1.0046,-177.2,0.819,57.57,235.16,162.31,-0.00,,0.000418,2448814.15,1992-07-10.6,,,0.146,56.8,2.14,,4.8e-02,1.9e+03,1.0e-02,2.2e-01,4.2e-01,8.1e-01,1.1e-02,,6.5e-03,3.7e-01,,HYP,"Otto Matic",5,1992-07-05,1992-07-10,9,,,,.70046,T,,,,,,,,
1001263,"     C/1993 A1 (Mueller)","1993 A1",Mueller,C,,,0,,,8.1,11.1,4.75,5.,0.03,,,,,,,,,,,,,"JPL 4",2449219.5,49219,1993-08-20.0,J2000,1.0018,-1052,1.937,124.88,144.72,130.67,-0.00,,2.887e-05,2449365.40,1994-01-12.9,,,1.13,442,1.68,,3.3e-06,1.9e+00,7.4e-07,1.7e-05,2.3e-05,4.8e-05,1.1e-05,,7.7e-08,1.2e-04,,HYP,"Otto Matic",629,1992-11-26,1994-08-17,714,,,,.8668,,1.6e-07,,-2.2e-08,,,,,
1001264,"     C/1993 F1 (Mueller)","1993 F1",Mueller,C,,,0,,,6.4,13.6,9.5,5.,0.03,,,,,,,,,,,,,"JPL 2",2449220.5,49220,1993-08-21.0,J2000,1.0054,-1092,5.901,53.94,77.52,62.03,0.01,,2.731e-05,2448839.36,1992-08-04.8,,,5.22,2.03e+03,2.3,,3.7e-05,7.4e+00,6.8e-05,4.7e-05,1.4e-04,1.1e-03,1.1e-04,,2.8e-07,1.0e-02,,HYP,"Otto Matic",837,1993-03-19,1995-07-04,102,,,,.97951,,,,,,,,,
